state,x,y
Aschaffenburg, 15, 20
Alzenau, -150, 320
Bessenbach, 213, -25
Blankenbach, 167, 263
Dammbach, 352, -319
Geiselbach, 83, 348
Glattbach, 14, 85
Goldbach, 73, 75
Großostheim, -114, -142
Haibach, 115, -19
Heigenbruecken, 428, 154
Heimbuchenthal, 283, -255
Heinrichstahl, 369, 280
Hoesbach, 129, 96
Johannesberg, -10, 154
Kahl, -243, 291
Karlstein, -212, 212
Kleinkahl, 230, 350
Kleinostheim, -142, 85
Krombach, 127, 296
Laufach, 282, 118
Mainaschaff, -117, 28
Mespelbrunn, 272, -157
Moembris, 45, 273
Rothenbuch, 473, -10
Sailauf, 218, 145
Schoellkrippen, 189, 314
Sommerkahl, 214, 276
Stockstadt, -107, -14
Waldaschaff, 289, 0
Weibersbrunn, 393, -115
Westerngrund, 174, 357
Wiesen, 426, 357
